biome,sample,Firmicutes,Bacteroidetes,Unassigned,Proteobacteria,Chordata,Actinobacteria,Cyanobacteria,Verrucomicrobia,Tenericutes,Fusobacteria,Euryarchaeota,Others
fermitation,ERR1857214,0.026717557,0.060305344,0.432824427,0.161068702,0,0.027480916,0.258015267,0.001526718,0,0.001526718,0,0.030534351
fermitation,ERR1857208,0.018707483,0.081632653,0.452380952,0.083333333,0,0.006802721,0.318027211,0.00170068,0,0,0,0.037414966
fermitation,ERR1857086,0.018391033,0.026288261,0.145788627,0.781445234,0,0.005416424,0.000343178,7.44E-05,4.55E-05,8.27E-05,0.000533373,0.021591271
fermitation,ERR1857085,0.017838987,0.068756355,0.099570201,0.785354469,0,0.001074499,1.16E-05,1.16E-05,0,0,0.001398004,0.025984379
fermitation,SRR069801,0.010989011,0.010989011,0.186813187,0.615384615,0,0.10989011,0,0,0,0,0,0.065934066
fermitation,ERR1818144,0.004662005,0.013986014,0.361305361,0.275058275,0,0.012820513,0.097902098,0.013986014,0,0,0.005827506,0.214452214
fermitation,ERR976829,0.003249768,0,0.431290622,0.522748375,0,0.042711235,0,0,0,0,0,0
fermitation,SRR069800,0.00286533,0.017191977,0.154727794,0.673352436,0,0.140401146,0,0,0,0,0,0.011461318
fermitation,ERR1233629,0.000119432,0.089334767,0.151916876,0.723914169,0,0.009474899,0.000199053,0.006568733,0,0,0,0.018472073
fermitation,ERR1251272,4.32E-05,0.243397204,0.119022959,0.624331089,0,0.008199551,0,0,0,0,0,0.005006042
fermitation,ERR1818145,0,0.01443299,0.428865979,0.263917526,0,0.024742268,0.035051546,0.020618557,0,0,0.004123711,0.208247423
fermitation,SRR069799,0,0.031746032,0.301587302,0.216931217,0,0.063492063,0,0.010582011,0,0,0,0.375661376
fermitation,SRR069802,0,0,1,0,0,0,0,0,0,0,0,0
fermitation,fermitation1,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation2,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation3,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation4,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation5,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation6,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation7,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation8,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation9,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation10,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation11,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation12,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation13,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation14,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation15,0,0,0,0,0,0,0,0,0,0,0,0
fermitation,fermitation16,0,0,0,0,0,0,0,0,0,0,0,0
gut,ERR1725597,1,0,0,0,0,0,0,0,0,0,0,0
gut,ERR675617,1,0,0,0,0,0,0,0,0,0,0,0
gut,SRR5947945,1,0,0,0,0,0,0,0,0,0,0,0
gut,ERR525888,0.960734354,3.15E-05,0.023720095,0.008885293,0,0.004459348,0,0,0.001883578,5.57E-06,0,0.000280217
gut,ERR526082,0.957906745,9.67E-06,0.031333082,0.000541392,0,0.00843992,0,0,0,0,0,0.001769193
gut,ERR525814,0.949118686,5.77E-05,0.027393598,0.021930606,0,0.000508551,5.77E-05,0,0,0,0,0.000933217
gut,ERR526022,0.946500614,0.001140151,0.046395369,0.002894229,0,0.00157867,0,0,8.77E-05,0,0,0.001403263
gut,SRR5947902,0.941176471,0.058823529,0,0,0,0,0,0,0,0,0,0
gut,ERR526002,0.931772958,8.86E-05,0.045807476,0.005697888,0,6.50E-05,0.000147614,0,0.015629336,0.000679023,0,0.000112186
gut,ERR1600440,0.919313862,0,0.047506256,0.027678554,0,1.91E-05,0.005310309,1.91E-05,0,0,0,0.000152815
gut,ERR675536,0.916666667,0.0625,0.020833333,0,0,0,0,0,0,0,0,0
gut,ERR1600436,0.916153494,0,0.051020408,0.02788946,0,2.54E-05,0.004707619,0,0,0,0,0.000203573
gut,ERR1762125,0.910712705,0.000442674,0.086144312,0.000929615,0,0.000619743,0,8.85E-05,0,0.000132802,0,0.000929615
gut,ERR1762126,0.910396503,0.000401409,0.086704429,0.000981223,0,0.000401409,0,0,4.46E-05,0,0,0.001070425
gut,ERR1762124,0.908391173,0.000400427,0.088494394,0.000845346,0,0.000800854,0,4.45E-05,0.000133476,0,0,0.000889838
