ID,Type,Group,Acidobacteria,Actinobacteria,Alveolata,Amoebozoa,Aquificae,Bacteroidetes,Balneolaeota,Chlamydiae,Chloroflexi,Crenarchaeota,Cyanobacteria,Deinococcus-Thermus,Diplomonadida,dsDNA,dsRNA,Elusimicrobia,environmental,Euglenozoa,Euryarchaeota,Fibrobacteres,Firmicutes,Fungi,Fusobacteria,Gemmatimonadetes,Kiritimatiellaeota,Metazoa,Nanoarchaeota,Nitrospirae,Nucleariidae,Parabasalia,Planctomycetes,Proteobacteria,Retro-transcribing,Rhizaria,Rhodothermaeota,Spirochaetes,ssRNA,Stramenopiles,Synergistetes,Tenericutes,Thaumarchaeota,Thermodesulfobacteria,Thermotogae,unclassified,Verrucomicrobia,Viridiplantae
PF14062,soil,4,0,0.808823529,0,0,0,0.073529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066176471,0,0,0,0,0,0,0,0,0,0,0.051470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14076,soil,4,0,0,0,0,0.006329114,0.348101266,0.006329114,0.006329114,0,0.018987342,0,0.018987342,0,0,0,0,0.006329114,0,0.037974684,0,0.139240506,0.006329114,0,0,0,0,0,0,0,0,0.006329114,0.367088608,0,0,0,0.006329114,0,0,0,0,0,0,0.012658228,0,0,0.012658228
PF14079,soil,4,0.004115226,0.111111111,0,0,0,0.395061728,0,0,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0.164609053,0.020576132,0,0,0,0,0,0,0,0,0,0.275720165,0,0,0.008230453,0,0,0.008230453,0,0,0,0,0,0,0,0
PF14080,soil,4,0,0.144578313,0,0,0,0.180722892,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0.409638554,0,0,0,0,0,0,0,0,0,0.048192771,0.192771084,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0
PF14081,soil,4,0,0.686746988,0,0,0,0.144578313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0.156626506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14085,soil,4,0.010416667,0.375,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0.010416667,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14086,soil,4,0,0,0,0,0,0.61878453,0,0,0,0,0.005524862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364640884,0,0,0,0,0,0,0,0,0,0,0,0.005524862,0.005524862,0
PF14087,soil,4,0.00877193,0.513157895,0,0,0,0.100877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0.307017544,0,0,0,0,0,0,0,0,0,0.065789474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PF14088,soil,4,0,0.055555556,0,0,0,0.715277778,0,0,0.003472222,0,0,0,0,0,0,0,0,0,0.013888889,0,0.041666667,0,0,0,0,0,0,0,0,0,0.003472222,0.159722222,0,0,0,0,0,0,0,0,0,0,0,0.003472222,0.003472222,0
PF14106,soil,4,0,0.203703704,0,0,0,0.185185185,0,0,0,0,0,0.009259259,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.009259259,0.324074074,0,0,0,0,0,0,0.009259259,0,0,0,0,0,0.009259259,0
PF14110,soil,4,0,0.372093023,0,0.007751938,0.015503876,0,0,0,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0.07751938,0,0,0,0,0,0,0,0,0,0.007751938,0.503875969,0,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0
